Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Lucille Roybal-Allard,D,2002,CA,34,True,True,451107,449247,105910,215766,,,232465,0,2876,191935,0,1250
Maxine Waters,D,2002,CA,35,True,True,240324,262947,6023,101229,,,133375,0,5719,78197,1500,4050
Ross Moen,R,2002,CA,35,False,False,75224,75117,106,59471,,,0,13252,2501,30150,0,0
Jane Harman,D,2002,CA,36,True,True,1365059,1206050,196795,771519,,,577760,0,15780,653804,2000,10750
Stuart Johnson,R,2002,CA,36,False,False,161137,158319,2816,121786,,,6080,30173,3098,68618,1451,0
Juanita Millender-McDonald,D,2002,CA,37,True,True,263516,244635,40764,57455,,,205624,0,437,41600,0,5250
Oscar A Velasco,R,2002,CA,37,False,False,14817,12505,74,4170,,,0,5547,5100,500,1000,0
Grace Napolitano,D,2002,CA,38,True,True,305289,267871,105612,86738,,,213400,0,5151,62550,0,8500
Linda Sanchez,D,2002,CA,39,False,True,1368940,1377392,2053,861089,,,499481,1000,7370,409001,0,8250
Tim Escobar,R,2002,CA,39,False,False,169591,169242,348,114978,,,45113,6000,3500,60587,0,4239
Ed Royce,R,2002,CA,40,True,True,1100175,845665,1044499,705826,,,305593,0,88756,605824,250,33201
Christina Avalos,D,2002,CA,40,False,False,12076,10452,535,2505,,,6500,1393,1678,0,0,0
Jerry Lewis,R,2002,CA,41,True,True,784514,646078,1116622,168134,,,363609,0,252770,144333,1000,9550
Gary Miller,R,2002,CA,42,True,True,520563,402210,138025,244155,,,275598,0,810,231325,0,0
Joe Baca,D,2002,CA,43,True,True,490540,511555,22434,169971,,,300225,0,20344,107398,0,8000
Wendy C Neighbor,R,2002,CA,43,False,False,6381,6380,0,6381,,,0,0,0,2700,0,0
Ken Calvert,R,2002,CA,44,True,True,638426,643411,71899,391631,,,243265,0,3530,371749,0,4770
Mary Bono Mack,R,2002,CA,45,True,True,529652,584205,80385,276849,,,250100,0,2703,222589,2800,19500
Elle Kurpiewski,D,2002,CA,45,False,False,312909,312391,518,194154,,,104250,5280,9225,48468,0,0
Dana Rohrabacher,R,2002,CA,46,True,True,393485,380014,81072,292039,,,101058,0,388,205205,2250,24050
Gerrie Schipske,D,2002,CA,46,False,False,188678,188346,718,155608,,,21750,6150,5170,58000,0,0
Loretta Sanchez,D,2002,CA,47,True,True,1435124,1290372,1456093,846533,,,478808,0,109783,632721,500,48200
Jeff Chavez,R,2002,CA,47,False,False,47438,47055,383,12541,,,9250,25647,0,8850,0,0
Christopher Cox,R,2002,CA,48,True,True,732789,736228,487199,406431,,,277250,0,49109,379050,0,0
John L Graham,D,2002,CA,48,False,False,11170,10030,1955,5099,,,750,2000,3321,1650,0,0
Darrell Issa,R,2002,CA,49,True,True,653166,365952,243990,318149,,,320586,0,14431,215584,2000,7800
Randy (Duke) Cunningham,R,2002,CA,50,True,True,796252,770725,663901,323633,,,379528,0,93091,280418,300,8250
Del G Stewart,D,2002,CA,50,False,False,16093,16226,-133,8150,,,5200,2486,257,1650,0,500
Bob Filner,D,2002,CA,51,True,True,632372,905141,111580,233931,,,355271,0,43170,149776,1000,0
Maria Guadalupe Garcia,R,2002,CA,51,False,False,227202,227202,0,148098,,,77729,0,1375,103796,0,4150
Duncan Hunter,R,2002,CA,52,True,True,879852,866776,27001,473870,,,404429,0,1553,361418,0,0
Susan Davis,D,2002,CA,53,True,True,988431,582449,433600,621438,,,337025,0,29968,419611,0,22350
Bill Van De Weghe,R,2002,CA,53,False,False,670626,670039,588,439790,,,82693,141500,6643,356118,0,16300
Wayne Allard,R,2002,CO,S2,True,True,5514209,5334115,255446,2569491,,,2017030,0,927688,2020898,50410,139667
Tom Strickland,D,2002,CO,S2,False,False,5204243,5206080,9374,3964947,,,790658,1784,446854,2910547,17750,445690
Rick Stanley,L,2002,CO,S2,False,False,14504,14283,85,11634,,,0,2475,395,3489,0,200
Diana DeGette,D,2002,CO,01,True,True,863353,787843,218590,438021,,,417779,0,7552,296023,1750,31575
Ken Chlouber,R,2002,CO,01,False,False,114736,114835,0,81036,,,21450,0,12250,50161,1446,10001
Mark Udall,D,2002,CO,02,True,True,1144549,776270,466956,847465,,,288422,0,8662,423687,3850,30622
Sandy Hume,R,2002,CO,02,False,False,30926,30684,1677,30176,,,0,0,750,8900,250,2200
Scott McInnis,R,2002,CO,03,True,True,796732,567944,1462630,424690,,,276350,0,95692,360870,1000,19100
Marilyn Musgrave,R,2002,CO,04,False,True,1262107,1249568,12539,822083,,,426924,100,13000,240880,3500,229444
Stan Matsunaka,D,2002,CO,04,False,False,966720,966738,-18,569669,,,394199,0,2852,337792,2000,9261
Joel Hefley,R,2002,CO,05,True,True,95227,100789,88180,28364,,,56583,0,10280,20598,0,0
Biff Leland Baker,L,2002,CO,05,False,False,34166,32333,0,8941,,,0,24990,235,4700,750,200
Tom Tancredo,R,2002,CO,06,True,True,703412,529939,357554,449508,,,238528,0,15376,182815,1750,6150
Lance Wright,D,2002,CO,06,False,False,8466,6477,26,7983,,,200,0,283,2750,0,0
Bob Beauprez,R,2002,CO,07,False,True,2121572,2315743,22923,985924,,,600204,455000,80444,699921,750,47300
Mike Feeley,D,2002,CO,07,False,False,1160494,1147762,12732,542599,,,463397,56000,98499,384467,0,21055
Victor Good,3,2002,CO,07,False,False,57554,57444,110,7236,,,0,50318,0,4160,0,0
John Larson,D,2002,CT,01,True,True,672776,565843,167787,366436,,,295868,0,10472,279210,0,15350
Rob Simmons,R,2002,CT,02,True,True,2051270,1759496,31138,1036307,,,809655,0,205308,816475,0,2000
Joe Courtney,D,2002,CT,02,False,False,1166889,1164546,2342,742812,,,413702,4667,5708,449609,950,50408
Rosa L DeLauro,D,2002,CT,03,True,True,637971,686770,37337,358942,,,273025,0,6004,289886,2000,2550
Charles A Pillsbury,3,2002,CT,03,False,False,108859,102892,5976,66262,,,0,40088,2509,40500,400,1150
Richter (Rick) Elser,R,2002,CT,03,False,False,81773,81054,719,67323,,,2500,3900,8050,41200,1050,7050
Christopher Shays,R,2002,CT,04,True,True,975553,919163,60438,795107,,,157258,0,23188,666417,250,25410
Stephanie Sanchez,D,2002,CT,04,False,False,118971,110703,12233,106301,,,8900,0,3770,78350,0,0
Nancy L Johnson,R,2002,CT,05,True,True,3405860,3753489,104515,1546990,,,1677169,0,181701,1166779,15100,250803
Jim Maloney,D,2002,CT,05,True,False,1908307,2151866,2706,757142,,,1051059,0,100106,606009,10500,14350
Walter Gengarelly,L,2002,CT,05,False,False,775,0,775,775,,,0,0,0,250,0,0
Joe Biden,D,2002,DE,S2,True,True,4112994,3755451,389220,3842021,,,0,0,270973,3260552,66425,68582
Ray Clatworthy,R,2002,DE,S2,False,False,2101962,2041927,65772,2006981,,,14100,50403,30478,441984,18850,38125
Michael N Castle,R,2002,DE,01,True,True,796754,760167,946369,448104,,,291941,0,56709,298623,250,0
Mike Miller,D,2002,DE,01,False,False,15373,13202,4269,8373,,,0,7000,0,3950,0,0
Jeff Miller,R,2002,FL,01,True,True,957701,956356,1343,613985,,,336841,0,6874,562817,0,6500
Bert Oram,D,2002,FL,01,False,False,14150,13953,297,4150,,,0,10000,0,2019,0,0
Allen Boyd,D,2002,FL,02,True,True,834462,588789,522419,368508,,,447545,0,18409,286461,500,4000
Thomas D McGurk,R,2002,FL,02,False,False,39043,35917,477,30173,,,0,3338,5532,16929,0,0
Corrine Brown,D,2002,FL,03,True,True,438529,436813,2232,126720,,,301575,3000,7234,73350,0,38250
Jennifer Carroll,R,2002,FL,03,False,False,182805,229107,49477,84645,,,20250,66035,11875,54936,2550,7250
Ander Crenshaw,R,2002,FL,04,True,True,529481,311187,271104,406292,,,117262,0,5927,371450,0,0
Karen L Thurman,D,2002,FL,05,True,False,1971381,1907185,108729,642579,,,1306546,0,22256,471490,1762,58603
Ginny Brown-Waite,R,2002,FL,05,False,True,958718,922948,35770,619467,,,321585,2000,15666,466594,0,39809
Jack Gargan,I,2002,FL,05,False,False,19893,19199,0,13730,,,0,5663,500,6950,250,1500
Brian P Moore,I,2002,FL,05,False,False,19297,19112,183,3945,,,0,15302,50,1650,0,0
Cliff Stearns,R,2002,FL,06,True,True,618197,332422,1444501,149780,,,395412,0,73006,85500,2250,0
David E Bruderly,D,2002,FL,06,False,False,59199,58524,674,39999,,,1200,18000,0,20961,0,0
Wayne Hogan,D,2002,FL,07,False,False,4667212,4659354,7858,179675,,,3000,4482475,2062,170700,0,0
John L Mica,R,2002,FL,07,True,True,1448769,1756119,242428,735048,,,650397,0,63324,571476,750,16950
Ric Keller,R,2002,FL,08,True,True,1514788,1140716,240630,819852,,,672530,0,22405,574063,1000,1250
Eddie Diaz,D,2002,FL,08,False,False,218654,218654,0,89392,,,103105,9559,16598,72401,2400,250
Michael Bilirakis,R,2002,FL,09,True,True,690563,816935,137378,217975,,,442262,0,30326,136616,1250,500
Chuck Kalogianis,D,2002,FL,09,False,False,363471,289819,851,80572,,,25470,240749,16680,29875,0,0
C W Bill Young,R,2002,FL,10,True,True,574842,487595,492450,152671,,,411791,0,10381,144081,0,0
Jim Davis,D,2002,FL,11,True,True,489269,406849,119698,153729,,,330608,0,4932,104189,0,4550
Adam H Putnam,R,2002,FL,12,True,True,699063,426659,242531,371542,,,324258,0,3263,201548,900,18400
Katherine Harris,R,2002,FL,13,False,True,3310496,3288150,22346,2857992,,,428244,0,24261,1416279,10450,28550
Jan Schneider,D,2002,FL,13,False,False,400686,339668,61018,286570,,,19918,87455,6744,112189,1000,950
Porter Goss,R,2002,FL,14,True,True,109710,90191,86303,82332,,,25500,0,1878,53050,0,500
Dave Weldon,R,2002,FL,15,True,True,732363,721863,158863,448443,,,270727,0,13192,249875,0,7925
Jim Tso,D,2002,FL,15,False,False,54340,51699,2641,37364,,,1650,14646,680,17775,0,0
Mark Foley,R,2002,FL,16,True,True,1945062,1050394,1721789,1010482,,,848182,0,86398,625919,6950,20500
Jack McLain,3,2002,FL,16,False,False,6767,2587,0,4587,,,0,2180,0,2550,0,0
Kendrick B Meek,D,2002,FL,17,False,True,369750,280910,88840,173398,,,150801,0,45550,120514,500,800
Ileana Ros-Lehtinen,R,2002,FL,18,True,True,709900,446566,1505728,438831,,,149332,0,121738,344173,1550,500
Robert Wexler,D,2002,FL,19,True,True,849325,737560,721089,527047,,,272925,0,49352,368882,19300,0
Jack Merkl,R,2002,FL,19,False,False,25784,25784,734,17135,,,0,7302,1347,10997,0,900
Peter Deutsch,D,2002,FL,20,True,True,842870,683832,2514398,349515,,,297425,0,195930,351100,250,0
Lincoln Diaz-Balart,R,2002,FL,21,True,True,501882,404303,650567,305180,,,168750,0,27952,291900,0,0
E Clay Shaw Jr,R,2002,FL,22,True,True,1954341,1968158,216324,1030625,,,860619,0,63097,801584,500,80850
Carol A Roberts,D,2002,FL,22,False,False,1158433,1138778,19656,899313,,,210622,35152,13346,537557,1782,53945
John Xuna,3,2002,FL,22,False,False,30877,30903,-26,4020,,,0,18000,8857,0,0,1200
Stanley S Smilan,3,2002,FL,22,False,False,725,725,0,725,,,0,125,-125,0,0,0
Alcee Hastings,D,2002,FL,23,True,True,373904,325688,88318,185091,,,32500,0,156314,136187,5550,0
Charles Laurie,R,2002,FL,23,False,False,13501,13501,4050,1000,,,0,16952,-4451,0,0,0
Harry Jacobs,D,2002,FL,24,False,False,4023634,3989411,33923,456113,,,267060,3270000,30461,378878,5000,8500
Tom Feeney,R,2002,FL,24,False,True,1875239,1853426,21813,1198145,,,659120,0,17974,986199,250,28450
Mario Diaz-Balart,R,2002,FL,25,False,True,1073882,999324,74558,644179,,,392825,0,36878,586138,1450,28000
Annie Betancourt,D,2002,FL,25,False,False,167351,152681,970,96795,,,43320,19268,7968,64134,4150,6100
Max Cleland,D,2002,GA,S1,True,False,10587648,10226569,59314,7873930,,,2259414,0,454304,5635460,66040,484647
Saxby Chambliss,R,2002,GA,S1,False,True,8134465,9753045,57066,5190630,,,1490670,0,1453165,3393850,26350,725926
Claude Anderson Thomas,L,2002,GA,S1,False,False,11109,11108,0,3770,,,0,0,7339,3750,0,500
Jack Kingston,R,2002,GA,01,True,True,788610,819957,628310,445299,,,265679,0,77633,406246,250,1000
Don Smart,D,2002,GA,01,False,False,21818,21768,90,8013,,,5000,5290,3515,3750,0,300
Sanford Bishop,D,2002,GA,02,True,True,577577,306026,300609,160029,,,391422,0,26126,151524,0,0
Calder Clay,R,2002,GA,03,False,False,2018827,2014779,4047,1012901,,,294338,198000,513588,738625,1250,65850
Jim Marshall,D,2002,GA,03,False,True,1058279,1009671,135383,571077,,,303352,123461,60388,589841,2500,32550
Denise L Majette,D,2002,GA,04,False,True,2196896,2112513,17699,1782260,,,352235,60700,1700,1163032,12750,72687
Cynthia L Van Auken,R,2002,GA,04,False,False,70395,69682,713,19320,,,0,50940,135,0,0,5600
John Lewis,D,2002,GA,05,True,True,333831,537600,406782,38195,,,288500,0,7136,26350,4250,0
Johnny Isakson,R,2002,GA,06,True,True,1034104,541917,1094830,644874,,,335261,0,53969,579373,250,21975
John Linder,R,2002,GA,07,True,True,2055486,2445237,132313,1292919,,,573101,0,189467,693013,1250,0
Mac Collins,R,2002,GA,08,True,True,764045,783506,45939,239298,,,506863,0,17884,181162,250,7150
Charles W Norwood,R,2002,GA,09,True,True,832593,1143216,385171,547636,,,340297,0,-55339,434338,500,200
Barry Gordon Irwin,D,2002,GA,09,False,False,16558,16341,126,2683,,,0,13250,625,1575,0,0
Nathan Deal,R,2002,GA,10,True,True,282252,307164,45006,105341,,,174639,0,2272,68150,0,18650
Roger Kahn,D,2002,GA,11,False,False,3822870,3847065,6987,594065,,,317600,2902394,8810,473199,1000,22100
Phil Gingrey,R,2002,GA,11,False,True,1478747,1629112,53338,850539,,,348376,263540,16291,824289,6000,56410
Charles (Champ) Walker Jr,D,2002,GA,12,False,False,1045691,1044953,737,589300,,,365645,86647,4099,496400,1205,39500
Max Burns,R,2002,GA,12,False,True,934354,926649,9699,494614,,,344729,25065,69946,335655,15400,15210
David Scott,D,2002,GA,13,False,True,1286264,1284775,1488,617787,,,460851,207286,341,524952,3000,38975
Clay Cox,R,2002,GA,13,False,False,409834,401763,8071,128983,,,14295,265878,678,93053,2250,3050
Neil Abercrombie,D,2002,HI,01,True,True,901314,673060,348643,415685,,,473927,0,11702,376761,0,650
Patsy T Mink,D,2002,HI,02,True,True,251844,192543,1465,114183,,,130100,0,7561,26415,500,0
Bob McDermott,R,2002,HI,02,False,False,86107,85817,290,82877,,,2600,0,629,40249,500,0
Larry Craig,R,2002,ID,S1,True,True,3479905,3428756,56574,1932847,,,1361819,0,185239,1079321,17300,141984
Alan Blinken,D,2002,ID,S1,False,False,2174337,2170928,3408,538596,,,97000,1510000,28741,440183,5500,52642
C L (Butch) Otter,R,2002,ID,01,True,True,1001925,898506,32892,544194,,,448688,0,9043,371643,9708,52527
Betty Richardson,D,2002,ID,01,False,False,478248,476357,1891,319561,,,132747,0,25940,120840,450,4050
Mike Simpson,R,2002,ID,02,True,True,342935,320240,37335,91823,,,249611,0,1501,61993,0,950
Edward Kinghorn,D,2002,ID,02,False,False,12168,12167,0,6064,,,6000,104,0,1050,0,0
Dick Durbin,D,2002,IL,S1,True,True,7608331,5795801,1830445,5108704,,,1763582,0,736045,4202982,10000,11700
James B Durkin,R,2002,IL,S1,False,False,777991,774907,3083,630150,,,102478,41645,3718,493748,5550,25950
Bobby L Rush,D,2002,IL,01,True,True,256930,299464,30032,52040,,,204890,0,0,40750,0,2750
Jesse Jackson Jr.,D,2002,IL,02,True,True,738833,749708,453398,428810,,,268412,0,41611,256089,2500,39200
Doug Nelson,R,2002,IL,02,False,False,8464,8463,0,250,,,0,8214,0,0,0,0
Bill Lipinski,D,2002,IL,03,True,True,382938,419274,114236,126233,,,250834,0,5871,102725,0,3025
Luis V Gutierrez,D,2002,IL,04,True,True,699492,805578,208138,357489,,,272625,0,69377,281070,2500,38000
Rahm Emanuel,D,2002,IL,05,False,True,3149645,2971519,178127,2256011,,,426241,450000,17394,2059321,16250,55750
Mark A Augusti,R,2002,IL,05,False,False,197680,215736,4358,86242,,,13320,96118,2000,57811,0,400
Henry J Hyde,R,2002,IL,06,True,True,586335,839202,305556,373137,,,149445,0,63752,154761,2050,5700
Danny K Davis,D,2002,IL,07,True,True,336883,215236,302786,108529,,,211107,0,17246,56850,0,20295
Mark Tunney,R,2002,IL,07,False,False,33785,34770,0,32690,,,250,845,0,15000,0,0
Phil Crane,R,2002,IL,08,True,True,695296,834590,45275,139911,,,545715,0,9670,76779,0,21150
Melissa Bean,D,2002,IL,08,False,False,329028,320960,8067,199808,,,106780,21500,939,118270,0,2651
Jan Schakowsky,D,2002,IL,09,True,True,861464,864510,159824,652838,,,186726,0,21900,433621,1500,21176
Nicholas Duric,R,2002,IL,09,False,False,32950,32750,199,9950,,,0,23000,0,9350,0,0
Mark Kirk,R,2002,IL,10,True,True,1705513,1436058,322883,1165975,,,508289,0,31249,1165100,12000,74850
Hank Perritt,D,2002,IL,10,False,False,477588,473273,4315,341471,,,66125,62409,7583,265749,500,11100
Jerry Weller,R,2002,IL,11,True,True,1344438,1672492,320729,545509,,,749389,0,49540,495529,1950,24800
Keith S Van Duyne,D,2002,IL,11,False,False,31018,30235,783,9585,,,11100,8478,1855,4300,1000,0
Jerry F Costello,D,2002,IL,12,True,True,779738,466187,720139,425981,,,323607,0,30150,351755,0,0
Judy Biggert,R,2002,IL,13,True,True,523807,444058,215897,260667,,,256736,0,6404,206101,500,1900
Dennis Hastert,R,2002,IL,14,True,True,3611604,3517996,311998,1993018,,,1519514,0,99071,1192035,2000,107450
Laurence J Quick,D,2002,IL,14,False,False,18195,18136,57,10732,,,3000,3712,751,6900,0,250
Timothy Johnson,R,2002,IL,15,True,True,504071,398741,131254,211115,,,285399,0,7556,110250,250,19200
Carl Estabrook,3,2002,IL,15,False,False,26004,25004,999,14504,,,0,11500,0,6125,0,0
Don Manzullo,R,2002,IL,16,True,True,942166,945294,162093,432714,,,497314,0,12138,285336,1000,9721
John Kutsch,D,2002,IL,16,False,False,71082,45810,27214,12128,,,2150,31304,25500,3050,0,900
Lane Evans,D,2002,IL,17,True,True,767669,774111,7001,382929,,,365571,275,18894,87041,1600,36260
Peter Calderone,R,2002,IL,17,False,False,45276,45275,0,40438,,,1000,0,3838,5500,200,7200
Ray LaHood,R,2002,IL,18,True,True,1122132,1050874,332141,616367,,,354192,0,151573,397119,2350,15200
John Shimkus,R,2002,IL,19,True,True,1848117,2144614,105858,644509,,,1157987,0,45621,399267,4500,11375
David Phelps,D,2002,IL,19,True,False,1049399,1278761,228,415122,,,604740,0,29537,207183,250,40340
Pete Visclosky,D,2002,IN,01,True,True,955407,870955,447107,512155,,,428413,0,14839,478540,0,2000
Mark Leyva,R,2002,IN,01,False,False,12190,11956,232,1905,,,0,6600,3685,0,0,500
Chris Chocola,R,2002,IN,02,False,True,1695150,1697821,14988,808182,,,623311,9410,254247,806897,26150,74437
Jill Long Thompson,D,2002,IN,02,False,False,1553051,1535967,17084,887036,,,652393,12722,900,462480,500,39720
Mark E Souder,R,2002,IN,03,True,True,517331,518722,4943,317618,,,194281,0,5432,227346,3750,4550
Jay Rigdon,D,2002,IN,03,False,False,133598,131462,2136,86485,,,42722,23,4368,49450,0,0
Steve Buyer,R,2002,IN,04,True,True,981934,956980,43118,288818,,,643000,0,50117,198383,700,1250
William (Bill) Abbott,D,2002,IN,04,False,False,27808,21635,6172,2246,,,19950,5612,0,0,0,0
Dan Burton,R,2002,IN,05,True,True,788320,844164,993537,421200,,,239082,0,128037,270032,1000,36862
Katherine Fox Carr,D,2002,IN,05,False,False,24459,25334,211,5497,,,5500,13597,-135,1500,0,1000
Mike Pence,R,2002,IN,06,True,True,1225884,1214883,17167,778560,,,435480,0,11844,541671,7200,123825
Melina Ann Fox,D,2002,IN,06,False,False,346308,342990,1347,122005,,,139246,17366,67690,66650,0,4450
Brose McVey,R,2002,IN,07,False,False,1120054,1105373,14681,714620,,,357330,0,48104,552499,0,36725
Julia Carson,D,2002,IN,07,True,True,998612,1099928,134990,460896,,,517905,0,19812,280235,1000,19250
John Hostettler,R,2002,IN,08,True,True,564191,573222,16132,543638,,,5738,0,14815,355203,200,12250
Bryan Hartke,D,2002,IN,08,False,False,388829,387184,2322,117430,,,161675,85163,24561,73650,0,0
Michael E Sodrel,R,2002,IN,09,False,False,1406877,1402947,3930,334022,,,46570,1007858,18427,269386,1500,0
Baron Hill,D,2002,IN,09,True,True,1102731,1144670,19179,458465,,,609735,0,34532,358423,0,14350
Tom Harkin,D,2002,IA,S2,True,True,8684883,8402094,332206,6287381,,,1870022,0,527480,3973576,17250,299939
Greg Ganske,R,2002,IA,S2,False,False,5046649,5795017,57108,3746712,,,780685,402000,117252,2228376,60250,140950
Jim Nussle,R,2002,IA,01,True,True,1984688,1713813,29500,692753,,,1196924,0,95011,401500,300,1800
Ann Hutchinson,D,2002,IA,01,False,False,1118748,981906,0,555050,,,343034,202903,17761,259412,250,15264
Julie Thomas,D,2002,IA,02,False,False,1346600,1342807,3810,701425,,,394709,234985,15482,255994,0,4777
Jim Leach,R,2002,IA,02,True,True,748563,780591,1654,576540,,,0,160000,12022,242219,0,0
Leonard Boswell,D,2002,IA,03,True,True,1260274,1316041,14944,401038,,,818736,0,40500,293065,500,7750
Stan Thompson,R,2002,IA,03,False,False,900833,895300,5532,593623,,,248925,24400,33885,412346,0,12850
Tom Latham,R,2002,IA,04,True,True,1461023,1546049,42453,431804,,,989954,0,39265,354166,10000,30350
John Norris,D,2002,IA,04,False,False,1293468,1289242,4225,710413,,,573642,0,9412,381126,11650,19800
Steven A. King,R,2002,IA,05,False,True,649231,598763,50318,526415,,,44738,65147,12931,158950,1250,28850
Paul Shomshor,D,2002,IA,05,False,False,91862,91858,0,61567,,,30025,0,270,29060,0,900
Pat Roberts,R,2002,KS,S1,True,True,1707877,1273938,543436,670236,,,856208,0,181433,504333,2750,5750
George Cook,3,2002,KS,S1,False,False,3450,3473,0,2007,,,0,1441,2,1000,0,0
Jerry Moran,R,2002,KS,01,True,True,489429,393081,561965,203319,,,251461,0,34649,134922,0,4200
Jim Ryun,R,2002,KS,02,True,True,425738,431534,217798,174655,,,229409,0,21675,127652,2000,1800
Dan Lykins,D,2002,KS,02,False,False,40525,38926,1599,27024,,,3000,9000,1501,18950,0,750
Dennis Moore,D,2002,KS,03,True,True,1899153,1871420,76574,920897,,,816508,1000,160749,634199,4000,34300
Adam Taff,R,2002,KS,03,False,False,1168901,1015230,153671,681017,,,325000,129782,33103,545882,0,2400
Dawn L Bly,3,2002,KS,03,False,False,8600,8548,51,5792,,,1000,1805,3,3405,0,0
Todd Tiahrt,R,2002,KS,04,True,True,979435,1133608,71784,495166,,,457746,0,26523,377905,3500,20945
Carlos J Nolla,D,2002,KS,04,False,False,682355,687005,6106,496640,,,166679,7000,12036,367412,0,11279
Mitch McConnell,R,2002,KY,S1,True,True,5981486,5742691,428116,4092441,,,1334670,0,554375,3293869,72538,327950
Lois Combs Weinberg,D,2002,KY,S1,False,False,2241595,2243048,-1451,1388460,,,198725,616265,38145,1141297,2000,9128
Ed Whitfield,R,2002,KY,01,True,True,999812,828898,402491,469978,,,472816,0,57017,380480,800,0
Klint Alexander,D,2002,KY,01,False,False,499003,498013,990,239573,,,95012,33870,130548,184247,500,7400
Ron Lewis,R,2002,KY,02,True,True,474854,547953,245948,229174,,,226511,0,19169,155865,0,3300
Anne M Northup,R,2002,KY,03,True,True,3375338,3945559,31081,1903720,,,1332257,3000,136360,1744804,20250,115100
Jack Conway,D,2002,KY,03,False,False,1646183,1549035,97148,918688,,,458359,261636,7500,735375,2150,7300
Ken Lucas,D,2002,KY,04,True,True,1383054,1451065,25189,642934,,,712769,6345,21007,533665,0,16525
Geoff Davis,R,2002,KY,04,False,False,875181,874456,725,489933,,,192844,152628,39776,396767,2800,14550
Hal Rogers,R,2002,KY,05,True,True,869071,683402,1033157,361370,,,458640,0,49060,273752,0,3500
Ernie Fletcher,R,2002,KY,06,True,True,1181077,1238269,135163,648237,,,487060,0,45780,528933,3050,0
Gatewood Galbraith,3,2002,KY,06,False,False,18697,18697,0,10302,,,0,8400,-5,6350,0,250
Mary L Landrieu,D,2002,LA,S1,True,True,9933755,9641705,86665,5225985,,,3374709,60054,1273007,4536713,43075,246668
Suzanne Terrell,R,2002,LA,S1,False,False,3772916,3421152,351764,2502745,,,780728,1500,487943,2126621,51130,640557
John Cooksey,R,2002,LA,S1,False,False,1840430,2166884,2825,1571238,,,89225,150000,29967,1120517,12800,251353
Tony Perkins,R,2002,LA,S1,False,False,716540,705887,10652,587785,,,39681,30000,59074,317831,4400,24520
David Vitter,R,2002,LA,01,True,True,1580277,1491709,931287,1123815,,,301890,0,154572,747327,5750,101950
Robert Namer,R,2002,LA,01,False,False,78260,77949,311,16760,,,0,61500,0,15650,0,0
William J Jefferson,D,2002,LA,02,True,True,1013541,1058734,5232,280955,,,593939,18025,120622,193600,0,73400
Irma Muse Dixon,D,2002,LA,02,False,False,152402,142044,10358,128379,,,24000,0,23,35800,0,76300
Clarence Hunt,D,2002,LA,02,False,False,17750,17750,0,0,,,0,17750,0,0,0,0
Billy Tauzin,R,2002,LA,03,True,True,2324918,1862613,1019938,605848,,,1672600,0,46470,408770,1000,49750
David Iwancio,I,2002,LA,03,False,False,5147,2032,3103,151,,,0,4696,300,0,0,0
Jim McCrery,R,2002,LA,04,True,True,1075922,1117840,403493,523149,,,519793,0,32980,410466,250,28400
John Milkovich,D,2002,LA,04,False,False,159742,157102,2640,39314,,,8750,110862,816,43814,700,0
Lee Fletcher,R,2002,LA,05,False,False,1762580,1856814,36920,1041481,,,490880,191898,38321,351879,13150,368850
Rodney Alexander,D,2002,LA,05,False,True,852398,855566,13846,325871,,,520634,0,5893,280082,0,32850
Robert J Barham,R,2002,LA,05,False,False,657372,657372,0,547985,,,43758,59497,6132,393252,6276,19315
Clyde C Holloway,R,2002,LA,05,False,False,610040,608448,1593,405273,,,24350,178529,1889,256436,2000,1000
Jack Wright,R,2002,LA,05,False,False,26105,26259,0,16105,,,0,10000,0,5985,0,0
Richard Baker,R,2002,LA,06,True,True,823676,772541,166449,196855,,,621851,0,4970,171664,250,10500
Chris John,D,2002,LA,07,True,True,868944,555290,516483,254544,,,595839,0,18561,222270,400,11575
Susan Collins,R,2002,ME,S2,True,True,4266392,4146155,220589,2458183,,,1546344,0,261865,1969269,35200,41000
Chellie Pingree,D,2002,ME,S2,False,False,3870827,3806798,65028,3478861,,,357866,0,34100,2001129,58750,48236
Tom H Allen,D,2002,ME,01,True,True,510246,521310,20003,290556,,,216299,0,3392,208100,0,0
Steven Joyce,R,2002,ME,01,False,False,126693,123840,1686,99808,,,7489,15850,3546,64987,450,0
Mike Michaud,D,2002,ME,02,False,True,1185957,1172768,13188,537306,,,635355,250,13046,330603,500,11050
Kevin Raye,R,2002,ME,02,False,False,1130811,1118274,1013,548954,,,439481,0,142377,366676,5250,15793
Wayne T Gilchrest,R,2002,MD,01,True,True,382351,440607,2557,377159,,,830,0,4363,158937,5700,4650
Ann Tamlyn,D,2002,MD,01,False,False,26484,36528,0,0,,,0,26484,0,0,0,0
Dutch Ruppersberger,D,2002,MD,02,False,True,1704937,1279283,19038,1067518,,,632654,0,4765,476245,1450,176508
Helen Delich Bentley,R,2002,MD,02,False,False,1074398,1071335,3064,699465,,,366300,5622,3011,517889,2750,64760
Ben Cardin,D,2002,MD,03,True,True,713467,1063989,237188,181739,,,505219,0,26509,205937,0,15575
Scott Conwell,R,2002,MD,03,False,False,29822,27859,1962,815,,,0,29000,7,0,0,0
